Date,DateValue,Course,Raceno,HorseNo,Rank,FinalOdds,WtCarried,JWinPer,JPlacePer,TWinPer,TPlacePer,Drawing,HWinPer,HPlacePer
2000-12-13,36873,"Turf - ""A"" Course",1,1,2,6,6.25,0.018925,0.015625,0,0,4,0.018211111,-0.076444444
2000-12-13,36873,"Turf - ""A"" Course",1,2,7,4.3,5.25,-0.009675,0.027325,-0.101518182,-0.006427273,2,0.009411111,0.205955556
2000-12-13,36873,"Turf - ""A"" Course",1,3,8,41,5.25,0.045125,0.090325,0.148481818,-0.042127273,10,0,0
2000-12-13,36873,"Turf - ""A"" Course",1,4,1,6.5,5.25,0.003125,-0.055075,0.065181818,0.041172727,8,0.135911111,0.158855556
2000-12-13,36873,"Turf - ""A"" Course",1,5,12,55,0.25,-0.040875,-0.045675,-0.101518182,0.041172727,12,-0.040588889,-0.194044444
2000-12-13,36873,"Turf - ""A"" Course",1,6,3,63,0.25,0.006625,0.025825,-0.101518182,0.107872727,11,0,0
2000-12-13,36873,"Turf - ""A"" Course",1,7,6,99,0.25,-0.026375,-0.060475,0.098481818,0.107872727,3,0,0
2000-12-13,36873,"Turf - ""A"" Course",1,8,9,10,-0.75,0.003325,0.036525,-0.101518182,-0.292127273,5,0.004911111,0.033255556
2000-12-13,36873,"Turf - ""A"" Course",1,9,11,99,-1.75,-0.090475,-0.154475,0.398481818,0.207872727,7,-0.040588889,-0.194044444
2000-12-13,36873,"Turf - ""A"" Course",1,10,4,4.5,-2.75,0.033725,0.057425,-0.101518182,-0.092127273,6,-0.040588889,0.139255556
2000-12-13,36873,"Turf - ""A"" Course",1,11,10,10,-10.75,-0.002975,-0.071775,-0.101518182,-0.181027273,1,-0.006088889,-0.021644444
2000-12-13,36873,"Turf - ""A"" Course",1,12,5,5.7,-6.75,0.059525,0.134425,-0.101518182,0.107872727,9,-0.040588889,-0.051144444
2000-12-13,36873,"Turf - ""A"" Course",2,1,5,11,11.30769231,0.084561538,0.192969231,-0.074784615,0.140607692,13,-0.028069231,-0.009461538
2000-12-13,36873,"Turf - ""A"" Course",2,3,2,14,8.307692308,-0.001138462,0.064369231,-0.074784615,-0.148292308,10,0.015430769,0.108538462
2000-12-13,36873,"Turf - ""A"" Course",2,4,6,16,7.307692308,-0.030338462,-0.066630769,-0.074784615,-0.259392308,1,0.043330769,-0.080961538
2000-12-13,36873,"Turf - ""A"" Course",2,5,1,3.1,7.307692308,0.028361538,0.095069231,0.425215385,0.240607692,5,-0.028069231,-0.047061538
2000-12-13,36873,"Turf - ""A"" Course",2,6,3,7.1,3.307692308,0.058761538,0.115969231,0.036315385,0.073907692,2,0.028530769,0.111838462
2000-12-13,36873,"Turf - ""A"" Course",2,7,9,7.6,3.307692308,-0.015838462,0.012869231,-0.074784615,0.140607692,3,-0.028069231,-0.027361538
2000-12-13,36873,"Turf - ""A"" Course",2,8,8,23,-0.692307692,0.020761538,-0.017330769,-0.074784615,0.073907692,8,-0.028069231,0.029438462
2000-12-13,36873,"Turf - ""A"" Course",2,9,10,18,1.307692308,-0.034638462,-0.037830769,-0.074784615,-0.148292308,12,0.034430769,0.035138462
2000-12-13,36873,"Turf - ""A"" Course",2,10,11,73,-6.692307692,-0.065438462,-0.132930769,-0.074784615,-0.259392308,4,-0.028069231,-0.152361538
2000-12-13,36873,"Turf - ""A"" Course",2,11,4,21,-2.692307692,0.022061538,-0.013230769,0.175215385,-0.009392308,7,0.007630769,0.097638462
2000-12-13,36873,"Turf - ""A"" Course",2,12,13,72,-6.692307692,-0.045938462,-0.122630769,0.036315385,0.073907692,6,0.067130769,0.014338462
2000-12-13,36873,"Turf - ""A"" Course",2,13,7,4.5,-10.69230769,0.028161538,0.003469231,-0.074784615,0.140607692,9,-0.028069231,-0.027361538
2000-12-13,36873,"Turf - ""A"" Course",2,14,12,74,-14.69230769,-0.049338462,-0.094130769,-0.074784615,-0.059392308,11,-0.028069231,-0.052361538
2000-12-13,36873,"Turf - ""A"" Course",3,1,12,9.1,9.428571429,0.052257143,0.102957143,-0.079061538,0.157946154,14,-0.045014286,0.060778571
2000-12-13,36873,"Turf - ""A"" Course",3,2,13,21,6.428571429,0,0,-0.079061538,-0.042053846,9,0.097885714,0.052878571
2000-12-13,36873,"Turf - ""A"" Course",3,3,10,21,5.428571429,-0.033742857,-0.033042857,0.032038462,0.091246154,13,0.026385714,0.195678571
2000-12-13,36873,"Turf - ""A"" Course",3,4,4,9.5,1.428571429,0.066657143,0.147057143,-0.079061538,0.043646154,2,-0.045014286,-0.050321429
2000-12-13,36873,"Turf - ""A"" Course",3,5,7,23,0.428571429,0,0,-0.079061538,0.091246154,6,-0.045014286,-0.161421429
2000-12-13,36873,"Turf - ""A"" Course",3,6,5,6.5,0.428571429,0.026057143,0.028257143,-0.079061538,-0.130953846,8,-0.045014286,-0.161421429
2000-12-13,36873,"Turf - ""A"" Course",3,7,1,18,0.428571429,0,0,0.087638462,0.091246154,3,-0.045014286,-0.007621429
2000-12-13,36873,"Turf - ""A"" Course",3,8,9,14,-0.571428571,-0.041642857,-0.141842857,-0.079061538,-0.242053846,1,-0.045014286,-0.018521429
2000-12-13,36873,"Turf - ""A"" Course",3,9,6,33,-0.571428571,0,0,0.420938462,0.257946154,7,0.092885714,0.252378571
2000-12-13,36873,"Turf - ""A"" Course",3,10,11,45,-1.571428571,-0.083342857,-0.141842857,-0.079061538,0.157946154,11,0.029085714,-0.050321429
2000-12-13,36873,"Turf - ""A"" Course",3,11,2,4,-1.571428571,0.013757143,0.038457143,0.170938462,0.007946154,10,0.031885714,0.030878571
2000-12-13,36873,"Turf - ""A"" Course",3,12,3,4.5,-3.571428571,0,0,-0.079061538,-0.242053846,5,0.026385714,0.124278571
2000-12-13,36873,"Turf - ""A"" Course",3,13,14,47,-5.571428571,0,0,0,0,4,-0.045014286,-0.161421429
2000-12-13,36873,"Turf - ""A"" Course",3,14,8,26,-10.57142857,0,0,-0.079061538,-0.242053846,12,0.010585714,-0.105821429
2000-12-13,36873,"Turf - ""A"" Course",4,1,4,13,9.214285714,0.052257143,0.102957143,-0.097221429,-0.272385714,3,0.073371429,0.129178571
2000-12-13,36873,"Turf - ""A"" Course",4,2,5,14,6.214285714,0,0,-0.097221429,-0.072385714,1,-0.019328571,0.131878571
